Date,HIBOR
31/12/2001,2.112882857
31/1/2002,1.846185
28/2/2002,1.925157647
31/3/2002,2.101116
30/4/2002,1.9073665
31/5/2002,1.787945238
30/6/2002,1.722322
31/7/2002,1.760958636
31/8/2002,1.702720455
30/9/2002,1.848108571
31/10/2002,2.058779524
30/11/2002,1.58333381
31/12/2002,1.537835
31/1/2003,1.415072857
28/2/2003,1.396616842
31/3/2003,1.356293333
30/4/2003,1.4791295
31/5/2003,1.377009
30/6/2003,1.1587055
31/7/2003,1.151785909
31/8/2003,1.120110476
30/9/2003,0.961415714
31/10/2003,0.2222
30/11/2003,0.127232
31/12/2003,0.217101905
31/1/2004,0.060972632
29/2/2004,0.060994
31/3/2004,0.090741304
30/4/2004,0.070547368
31/5/2004,0.1730475
30/6/2004,0.203921429
31/7/2004,0.189041905
31/8/2004,0.440848636
30/9/2004,0.814399524
31/10/2004,0.737326842
30/11/2004,0.210778182
31/12/2004,0.517048636
31/1/2005,0.45607381
28/2/2005,1.310507059
31/3/2005,2.066185238
30/4/2005,2.3477535
31/5/2005,2.525453
30/6/2005,3.283691818
31/7/2005,3.329999
31/8/2005,3.511162609
30/9/2005,3.757857143
31/10/2005,4.23932
30/11/2005,3.968445455
31/12/2005,4.0960745
31/1/2006,3.868266842
28/2/2006,3.867134
31/3/2006,4.20636087
30/4/2006,4.332920588
31/5/2006,4.5202155
30/6/2006,4.333778182
31/7/2006,4.094127619
31/8/2006,3.968781304
30/9/2006,4.087470952
31/10/2006,4.157749
30/11/2006,3.964146818
31/12/2006,4.021673158
31/1/2007,3.944350455
28/2/2007,4.133967778
31/3/2007,4.160222727
30/4/2007,4.315556111
31/5/2007,4.472959048
30/6/2007,4.4070715
31/7/2007,4.324489524
31/8/2007,4.573850435
30/9/2007,4.968534211
31/10/2007,5.204693333
30/11/2007,3.222142727
31/12/2007,3.697781053
31/1/2008,2.719058636
29/2/2008,2.243533684
31/3/2008,2.02267
30/4/2008,1.580000476
31/5/2008,1.455215
30/6/2008,1.81025
31/7/2008,1.833440909
31/8/2008,1.831542105
30/9/2008,2.747423333
31/10/2008,3.760305714
30/11/2008,1.117142
31/12/2008,0.807313333
31/1/2009,0.233095
28/2/2009,0.2194635
31/3/2009,0.310292273
30/4/2009,0.2724825
31/5/2009,0.111373158
30/6/2009,0.09638
31/7/2009,0.095275455
31/8/2009,0.074899048
30/9/2009,0.120763182
31/10/2009,0.1079285
30/11/2009,0.081121905
31/12/2009,0.060916364
31/1/2010,0.068893
28/2/2010,0.070218889
31/3/2010,0.081832609
30/4/2010,0.084116316
31/5/2010,0.1449495
30/6/2010,0.322517143
31/7/2010,0.341564762
31/8/2010,0.196039545
30/9/2010,0.189185238
31/10/2010,0.2436805
30/11/2010,0.173474545
31/12/2010,0.244708182
31/1/2011,0.157534286
28/2/2011,0.137758333
31/3/2011,0.198215217
30/4/2011,0.199087778
31/5/2011,0.190643
30/6/2011,0.205901429
31/7/2011,0.199982
31/8/2011,0.209736087
30/9/2011,0.21
31/10/2011,0.210714
30/11/2011,0.221931364
31/12/2011,0.291178
31/1/2012,0.357698889
29/2/2012,0.335969048
31/3/2012,0.302027727
30/4/2012,0.302509444
31/5/2012,0.302743636
30/6/2012,0.302585714
31/7/2012,0.302229524
31/8/2012,0.300526957
30/9/2012,0.300409
31/10/2012,0.297411
30/11/2012,0.278294545
31/12/2012,0.277649474
31/1/2013,0.250551364
28/2/2013,0.226468824
31/3/2013,0.2126085
30/4/2013,0.207069
31/5/2013,0.207141905
30/6/2013,0.207517895
31/7/2013,0.207256364
31/8/2013,0.206702857
30/9/2013,0.2085
31/10/2013,0.215984286
30/11/2013,0.213911429
31/12/2013,0.21275
31/1/2014,0.211636667
28/2/2014,0.209612105
31/3/2014,0.209149524
30/4/2014,0.209354
31/5/2014,0.2083285
30/6/2014,0.212013
31/7/2014,0.224363182
31/8/2014,0.216009048
30/9/2014,0.215019048
31/10/2014,0.227687143
30/11/2014,0.2287145
31/12/2014,0.240073333
31/1/2015,0.233740476
28/2/2015,0.236223333
31/3/2015,0.236498182
30/4/2015,0.237810526
31/5/2015,0.239191579
30/6/2015,0.239186818
31/7/2015,0.239295909
31/8/2015,0.244779048
30/9/2015,0.2448555
31/10/2015,0.234057
30/11/2015,0.198346667
31/12/2015,0.222226364
31/1/2016,0.2885075
29/2/2016,0.342571111
31/3/2016,0.233877143
30/4/2016,0.2269195
31/5/2016,0.211710952
30/6/2016,0.231868571
31/7/2016,0.241276
31/8/2016,0.244006364
30/9/2016,0.264241429
31/10/2016,0.289355789
30/11/2016,0.373786364
31/12/2016,0.614885
31/1/2017,0.677987895
28/2/2017,0.512642
31/3/2017,0.447214783
30/4/2017,0.410614118
31/5/2017,0.3718415
30/6/2017,0.407702273
31/7/2017,0.44858
31/8/2017,0.424288636
30/9/2017,0.469938095
31/10/2017,0.606281
30/11/2017,0.815319545
31/12/2017,1.105247368
31/1/2018,0.960480455
28/2/2018,0.782373333
31/3/2018,0.790052857
30/4/2018,1.004062105
31/5/2018,1.05903
30/6/2018,1.625377
31/7/2018,1.813954762
31/8/2018,1.42303087
30/9/2018,1.809451579
31/10/2018,1.604534762
30/11/2018,1.067232727
31/12/2018,2.205424737
31/1/2019,1.356235
28/2/2019,0.995688824
31/3/2019,1.527518571
30/4/2019,1.935103684
31/5/2019,1.824983333
30/6/2019,2.353511579
31/7/2019,2.219232273
31/8/2019,1.957896364
30/9/2019,1.911822857
31/10/2019,1.716752381
30/11/2019,2.188203333
31/12/2019,2.5738515
31/1/2020,2.076625
29/2/2020,1.819637
